Test Period,Test Initiative,Customer Segment,Projected Uplift (%)
The quarter in which the pilot test of hybrid rewards was conducted,"The specific strategy or initiative being tested, in this case, 'Hybrid Rewards'",The generation or demographic of customers evaluated in the pilot test,The projected percentage increase in repeat-purchase rate from the pilot test
Q3 2025,Hybrid Rewards (Mobile + Printed Offers),Gen Z/Millennials,10.5%
Q4 2025-Q1 2026,Hybrid Rewards (Mobile + Printed Offers),Gen Z/Millennials; Gen X/Boomers,11%; 7%
Q2 2025,Hybrid Rewards (Mobile + Printed Offers),Gen Z/Millennials,10%
Q3 2025,Printed Rewards,Gen X/Boomers,6.5%
Q4 2025-Q1 2026,Mobile Rewards,Gen Z/Millennials,10%
Q3 2025,Hybrid Rewards (Mobile + Printed Offers),Gen X/Boomers,5.5%
Q2 2025,Mobile Rewards,Gen Z/Millennials,9%
Q2 2025,Hybrid Rewards (Mobile + Printed Offers),Gen X/Boomers,5%
Q2 2025,Printed Rewards,Gen X/Boomers,6%
Q4 2025-Q1 2026,Printed Rewards,Gen X/Boomers,6%
Q3 2025,Mobile Rewards,Gen Z/Millennials,9.5%
