Company_Name,PR_Team_Lead,Monitoring_Month_Year,News_Sources_Tracked,Average_Daily_Mentions
The name of the company. In this case it's Lee's Market.,"The person leading the public relations team. For Lee's Market, it's Andrew Park.","The month and year when the media monitoring service was used. For Lee's Market, it was in February 2023.","The number of news sources globally that the monitoring service tracked. In the case of Lee's Market, over 50,000 news sources were tracked.",The average number of times the company's name is mentioned in the news daily. Lee's Market was mentioned an average of 85 times daily.
Organic Origins,Mike Johnson,2022-10,30000,60
Farm Fresh,Jane Smith,2022-11,45000,75
Earth's Edibles,Noah Wilson,2023-01,36000,65
Healthy Harvest,Emily Davis,2023-01,35000,65
Green Grocers,John Doe,2022-12,40000,70
Natural Nourish,Oliver Brown,2023-02,48000,80
Lee's Market,Andrew Park,2023-02,50000,85
Pure Produce,Isabella Moore,2023-02,49000,80
Bountiful Basket,Sophia Williams,2022-12,42000,70
Vibrant Veg,Liam Taylor,2022-11,46000,75
Wholesome Wholefoods,Ava Miller,2022-10,31000,60
