Quarter,Competitors,Initiatives,Alignment
The quarter of the year when the sustainability initiatives were reported or implemented,The name of the competitor companies who implemented the sustainability initiatives,The description of the sustainability initiatives that were implemented,The global or industry standards that the initiatives align with
2025-Q2,"Mercedes-Benz, Audi","Launched carbon-neutral models, started recycling programs",ISO 14001:2015 Environmental Management Standards
2025-Q3,"Jaguar, Chevrolet","Initiated tree-planting projects, increased use of recycled materials in production",United Nations Global Compact Principles
2025-Q4,"Ford, Tesla","Expanded sustainability initiatives, published joint environmental targets",Science-Based Target Initiative standards
2023-Q4,"Renault, Fiat","Improved fuel efficiency in models, reduced carbon footprint of supply chain",Carbon Disclosure Project (CDP) Standards
2023-Q2,"Lexus, Infiniti","Increased use of bio-based materials in vehicles, initiated ocean clean-up projects",Sustainable Development Goals (SDGs)
2024-Q2,"Porsche, Volvo","Invested in solar power for factories, improved waste management",ISO 50001:2018 Energy Management Standards
2024-Q1,"Peugeot, Citroen","Launched electric vehicle models, started sustainability awareness campaigns",Eco-Management and Audit Scheme (EMAS)
2023-Q1,"Kia, Hyundai","Reduced water consumption in factories, increased investments in renewable energy",Water Efficiency Management Systems (WEMS)
2024-Q4,"Ford, Tesla","Introduced energy-saving manufacturing processes, reduced packaging waste",Greenhouse Gas Protocol Corporate Standard
2025-Q1,"BMW, Nissan","Invested in renewable energy sources, reduced factory emission",Global Reporting Initiative Standards
