Department_Head,Company_Name,Monitoring_Date,Sources_Tracked,Daily_Mentions
The name of the individual leading the public relations department.,The name of the company the public relations department belongs to.,The month and year when the media monitoring service was utilized.,The number of news sources globally that were tracked by the media monitoring service.,"The average number of times the company was mentioned in the news daily, as flagged by the monitoring service."
James Williams,Auto Dynamics,2023-01,40000,70
Andrew Park,Lee's Market,2023-02,50000,85
John Smith,Tech Corp,2022-11,30000,45
Emily Davis,Eco Solutions,2023-01,45000,75
Emma Thompson,Green Energy,2023-02,48000,80
Daniel Robinson,Cybernetic Systems,2023-02,49800,84
Christopher Martin,Future Tech,2023-01,49000,80
Sarah Johnson,BioLife,2022-12,35000,60
Jessica Wilson,Skyline Enterprises,2023-02,49500,83
Michael Garcia,Nano Innovations,2023-02,49000,82
