Campaign_Name,Partner_Organization,Year,Media_Coverage_Value,Customer_Acquisition_Cost_Change,Brand_Sentiment_Score_Change
The name of the PR campaign or initiative,The name of the organization that Lee's Market partnered with for the campaign,The year the campaign took place,The estimated dollar value of the positive media coverage generated by the campaign,The percentage change in customer acquisition cost as a result of the campaign,The change in brand sentiment scores in participating cities as a result of the campaign
Organic Food Fair,Local Organic Farms Association,2021,120000,-0.08,7
Healthy Eating Seminar,Nutrition Education Network,2020,150000,-0.1,5
Sustainable Living Workshop,Green Initiative Group,2019,100000,-0.05,4
Farm to Table Festival,City Farmers Market Coalition,2018,180000,-0.09,9
Nutrition for Kids Program,School Health Network,2019,90000,-0.04,3
Chef in the Community,Urban Food Literacy Foundation,2022,250000,-0.18,12
Vegan Lifestyle Expo,Plant Powered People,2021,220000,-0.15,11
Farmers Market Promotion,Agriculture Society,2018,160000,-0.06,6
Community Cooking Classes,Culinary Education Foundation,2020,200000,-0.12,10
