Company,Year,Noncompliance_Findings,Compliance_Audit_Result
Name of the company where the compliance audit is conducted.,The year when the compliance audit was conducted.,Percentage of noncompliance findings accounted for by untrained employees.,Detailed result of the compliance audit.
Zeta Industries,2023,0.4,Untrained employees accounted for 40% of minor noncompliance findings in the compliance audit.
Lee's Market,2025,0.7,Compliance audits found that untrained employees accounted for 70% of minor noncompliance findings.
Eta Enterprises,2024,0.35,"In the compliance audit, 35% of minor noncompliance findings were due to untrained employees."
Theta Corp,2025,0.3,Compliance audit revealed that untrained employees accounted for 30% of minor noncompliance findings.
Alpha Corp,2022,0.55,Compliance audit found that untrained employees accounted for 55% of minor noncompliance findings.
Gamma LLC,2024,0.65,Compliance audit revealed that 65% of minor noncompliance findings were due to untrained employees.
Epsilon Ltd,2022,0.45,Compliance audit found that 45% of minor noncompliance findings were accounted for by untrained employees.
Beta Inc,2023,0.6,Untrained employees accounted for 60% of minor noncompliance findings in the compliance audit.
Delta Co,2025,0.5,50% of minor noncompliance findings in the compliance audit were due to untrained employees.
