Company,Industry,CRM_Implementation_Year,Number_of_Upgrades,Annual_Revenue,Employee_Count
The name of the company that has implemented the CRM system,The industry in which the company operates,The year when the company's CRM system was first implemented,The total number of major software upgrades the CRM system has undergone since its implementation,The annual revenue of the company,The total number of employees the company has
Quantum Solutions,Technology,2019,2,"$25,000,000",300
Olympus Construction,Construction,2019,2,"$18,000,000",300
Everest Expeditions,Tourism,2016,4,"$10,000,000",75
Polaris Defense,Defense,2015,1,"$30,000,000",400
Aqua Marine Inc,Marine,2017,1,"$18,000,000",150
Elexion Automotive,Automotive,2018,3,"$20,000,000",250
Terra Fruits,Agriculture,2013,5,"$8,000,000",50
Nova Energy,Energy,2020,1,"$40,000,000",500
Aether Airlines,Aviation,2014,4,"$15,000,000",200
Prime Logistics,Logistics,2014,3,"$12,000,000",125
Zephyr Tech,Technology,2015,2,"$15,000,000",100
