Company,Year,Partner_Organization,Program_Name,Media_Coverage_Value,Customer_Acquisition_Cost_Reduction,Brand_Sentiment_Score_Increase
The name of the company participating in the partnership,The year the partnership took place,The name of the organization or entity that the company partnered with,The name of the specific program or initiative resulting from the partnership,The estimated value of positive media coverage generated by the partnership,The percentage reduction in customer acquisition cost as a result of the partnership,The increase in brand sentiment scores in participating cities as a result of the partnership
Miller's Supermarket,2020,City Health Department,Fitness First,210000,0.13,9
Lee's Market,2022,Urban Food Literacy Foundation,Chef in the Community,250000,0.18,12
Smith's Store,2019,Neighborhood Nutrition Network,Healthy Habits Workshop,170000,0.11,8
Smith's Store,2020,Neighborhood Nutrition Network,Kids Cook Program,180000,0.12,9
Brown's Market,2020,Community Wellness Coalition,Heart Healthy Initiative,200000,0.15,10
Johnson's Grocery,2018,Local Farmer's Union,Farm Fresh Initiative,150000,0.1,8
Brown's Market,2021,Community Wellness Coalition,Active Living Initiative,220000,0.17,11
Johnson's Grocery,2022,Local Farmer's Union,Sustainable Foods Program,230000,0.14,10
Miller's Supermarket,2019,City Health Department,Healthy Eating Campaign,200000,0.15,10
Lee's Market,2021,Urban Food Literacy Foundation,Community Garden Project,240000,0.16,10
Davis's Deli,2018,School District,Lunchbox Learning,160000,0.11,7
