company_name,policy_subject,policy_details,year,number_of_statements,percentage_increase_from_previous_year
"The name of the company, in this case, 'Lee's Market'.","The subject of the company policy, in this case 'press releases'.",Details of the specific company policy.,"The year the policy was in action, in this case, '2023'.","The number of press statements released in that year, for example, '120'.","The percentage increase from the previous year in the number of press statements released, for example, '10%'."
Black's Bookstore,New Arrivals,Publicize new arrivals in the store through weekly press releases.,2023,100,0.25
Yellow's Yogurt,Product Launches,Announce new yogurt flavors through press releases.,2023,30,0.1
Orange's Office Supplies,Sale Announcements,Announce sales and discounts through press releases.,2023,60,0.05
Blue's Boutique,Fashion Trends,Release press statements on latest fashion trends and new collections.,2023,80,0.2
White's Winery,Product Launches,Hold quarterly product launch events and press releases.,2023,80,0.2
Brown's Bakery,Employee Benefits,Provide health insurance and paid time off.,2023,10,0.08
Purple's Pharmacy,Health Awareness,Promote health awareness through regular press releases and public awareness campaigns.,2023,110,0.3
Green's Groceries,Sustainability,Promote eco-friendly practices through monthly press releases.,2023,90,0.15
Lee's Market,Press Releases,Issue regular press releases managed by the corporate communications team to maintain transparency and public engagement.,2023,120,0.1
Pink's Pizzeria,Menu Updates,Announce new menu items through press releases every quarter.,2023,70,0.1
Johnson's Store,Social Media,Share weekly updates on Facebook and Instagram.,2023,50,0.05
