Company_Name,Partnership_Year,Partner_Organization,Partnership_Program,Media_Coverage_Value,Customer_Acquisition_Cost_Change,Brand_Sentiment_Score_Change
The name of the company involved in the partnership.,The year when the partnership took place.,The name of the organization that the company partnered with.,The specific program or initiative that was developed through the partnership.,The estimated value of positive media coverage generated through the partnership.,The percentage by which the cost of acquiring new customers changed due to the partnership.,The change in the company's brand sentiment scores as a result of the partnership.
FitNation Gym,2019,Community Health Initiative,Fit for Life,200000,-0.08,10
Brick & Mortar Books,2021,Readers Without Borders,Books for All,220000,-0.12,9
Lee's Market,2021,Urban Food Literacy Foundation,Nutrition Education Program,230000,-0.15,10
Bluebird Electronics,2018,Tech For All,Electronics Recycling Initiative,150000,-0.1,8
AquaPure Water,2019,Water Access Foundation,Clean Water for All,200000,-0.13,10
Green Groceries,2020,City Farmers Network,Urban Farming Project,180000,-0.15,11
Highway Auto,2020,Clean Drive Association,Eco-Friendly Driving,230000,-0.16,11
Skyline Construction,2018,Habitat for Humanity,Affordable Housing Project,150000,-0.09,8
Lee's Market,2022,Urban Food Literacy Foundation,Chef in the Community,250000,-0.18,12
Lee's Market,2020,School Nutrition Network,Healthy Lunch Program,240000,-0.17,11
Lee's Market,2021,Local Food Bank,Holiday Food Drive,210000,-0.14,10
