Job Role,Stress Cause: Tight Deadlines,Stress Cause: Insufficient Training
The specific role of the employee within the company.,The percentage of employees in the specific role who have attributed their stress to tight deadlines.,The percentage of employees in the specific role who have attributed their stress to insufficient training.
Sales Representative,25%,28%
Software Engineer,15%,20%
Copywriter,30%,33%
Marketing Manager,20%,23%
Operations Manager,28%,31%
Data Analyst,19%,24%
Quality Assurance Engineer,22%,26%
Human Resources Specialist,21%,19%
Customer Service Representative,30%,29%
Product Manager,18%,22%
Graphic Designer,14%,18%
